vacancy_name,employer_name,city,station_name,salary_min,salary_max,salary_currency,vacancy_link,site_address
Программист Python (Middle),Открытые Технологии,Москва,Серпуховская,100000,160000,руб.,https://pushkino.hh.ru/vacancy/46205242,https://hh.ru
Python разработчик на Computer Vision проект (стажер),DONTECO,Ростов-на-Дону,,40000,50000,руб.,https://pushkino.hh.ru/vacancy/46602889,https://hh.ru
Backend разработчик (Python),INFOWATCH,Москва,,,,,https://pushkino.hh.ru/vacancy/45816887,https://hh.ru
Teamlead of python developers (telecom),Wanted,Москва,,,300000,руб.,https://pushkino.hh.ru/vacancy/46625950,https://hh.ru
Программист Python,Красное & Белое,Москва,,,,,https://pushkino.hh.ru/vacancy/40658063,https://hh.ru
Разработчик на С++/Python в Яндекс.Маршрутизацию,Яндекс,Москва,Павелецкая,,,,https://pushkino.hh.ru/vacancy/45907156,https://hh.ru
Python-разработчик в Яндекс.Практикум,Яндекс,Москва,,,,,https://pushkino.hh.ru/vacancy/45985255,https://hh.ru
Ментор по Python,ООО Оверван,Минск,Академия наук,,,,https://pushkino.hh.ru/vacancy/46636087,https://hh.ru
Senior Software Engineer (Python),Дартс рекрутинг сервисез,Санкт-Петербург,,6500,,,https://pushkino.hh.ru/vacancy/46004944,https://hh.ru
Backend-разработчик Python,Admitad,Москва,,,200000,руб.,https://pushkino.hh.ru/vacancy/43343275,https://hh.ru
Python Developer,OpenWeather,Москва,,2000,,,https://pushkino.hh.ru/vacancy/46351042,https://hh.ru
Backend Python Developer продукт Video Analytics (MTS AI),ПАО «МТС»,Москва,Технопарк,,,,https://pushkino.hh.ru/vacancy/45971020,https://hh.ru
Python Backend Developer,ООО Napoleon IT,Красноярск,,,,,https://pushkino.hh.ru/vacancy/46224936,https://hh.ru
Middle/Senior Python Developer,Scalable Solutions,Санкт-Петербург,,130000,220000,руб.,https://pushkino.hh.ru/vacancy/43856438,https://hh.ru
Разработчик (Python),"ГДЕЭТОТДОМ.РУ,ООО",Москва,,70000,100000,руб.,https://pushkino.hh.ru/vacancy/46638316,https://hh.ru
Python senior developer / Старший Python-Разработчик,BestDoctor,Москва,,250000,,,https://pushkino.hh.ru/vacancy/45785423,https://hh.ru
Python разработчик,ПИК-БРОКЕР,Москва,Деловой центр,,,,https://pushkino.hh.ru/vacancy/45471612,https://hh.ru
Senior Python Developer,FIRECODE,Ростов-на-Дону,,160000,,,https://pushkino.hh.ru/vacancy/43968966,https://hh.ru
Java/Python/Scala-разработчик в Big Data,EPAM Systems,Тольятти,,,,,https://pushkino.hh.ru/vacancy/44352347,https://hh.ru
Python backend-разработчик (IT-компания),Сервис Плюс,Москва,Каширская,90000,180000,руб.,https://pushkino.hh.ru/vacancy/45061368,https://hh.ru
Middle/Senior Python Developer (Программист Python),Rainforest Life Pte Ltd,Санкт-Петербург,,,,,https://pushkino.hh.ru/vacancy/46100593,https://hh.ru
Backend разработчик Python (Django) (middle),ООО Максконсалт,Москва,,,,,https://pushkino.hh.ru/vacancy/46112626,https://hh.ru
Senior Python Developer,Incrdbl Mobile Entertainment,Нижний Новгород,,,,,https://pushkino.hh.ru/vacancy/44220581,https://hh.ru
Junior+ Python Developer,instinctools,Гродно,,,,,https://pushkino.hh.ru/vacancy/46574239,https://hh.ru
Python разработчик,Сбер для экспертов,Екатеринбург,,,,,https://pushkino.hh.ru/vacancy/46575262,https://hh.ru
Python разработчик (middle),MyTona,Красноярск,,,,,https://pushkino.hh.ru/vacancy/45957955,https://hh.ru
Python Developer,Онлайн-школа Тетрика,Москва,Курская,,,,https://pushkino.hh.ru/vacancy/42358806,https://hh.ru
Python developer,B2Broker Москва,Минск,,2500,3200,USD,https://pushkino.hh.ru/vacancy/45610689,https://hh.ru
